Ratio_Avg,diff_time,Label
26.84806982,2.049497,0
26.13632712,2.615487,0
25.00426694,1.974223,0
26.89456305,6.910386,1
25.44729725,0.701083,0
26.34988507,3.32817,1
26.6664621,2.070642,0
26.92728047,13.328099,1
26.40197345,0.888385,0
25.58602288,1.283084,0
26.05482977,1.309857,0
24.96399304,10.136264,1
26.82160751,1.611953,0
26.48927639,1.303856,0
25.58093408,1.8122,0
26.96268474,4.320168,1
26.87559289,2.11527,0
26.83466723,3.292759,1
26.95563361,4.111164,1
26.57118608,1.406429,0
26.79569465,5.616335,1
26.61801862,2.644131,0
26.92391124,2.802424,0
26.38611398,1.465783,0
26.56044176,3.120474,1
26.7297615,2.078567,0
26.89749414,2.737102,0
26.78903269,6.047462,1
26.78207353,14.769337,1
23.57858477,0.623299,0
26.3887588,2.080524,0
26.98805647,1.408695,0
25.58583076,1.503361,0
26.60527451,4.816532,1
26.59543331,4.416234,1
26.04176553,6.580905,1
24.50736668,3.480589,1
26.65500618,5.29799,1
26.51056858,0.735698,0
26.25857044,7.791988,1
25.90138164,2.845993,0
26.10384934,7.44629,1
26.58784043,1.693394,0
26.53789252,5.217587,1
26.32384789,0.57573,0
26.74734156,4.367338,1
26.84030416,2.846407,0
26.66463195,3.920216,1
26.60625119,0.989962,0
26.660347,7.441313,1
26.70994668,3.69374,1
25.66260877,3.374962,1
25.69747153,0.547003,0
26.6357064,0.900192,0
26.50313569,1.342681,0
26.22671407,16.605189,1
26.78960343,17.392298,1
26.675756,1.378464,0
26.78199409,2.733538,0
25.87506446,9.48689,1
26.99045988,1.029424,0
26.69828387,1.468192,0
26.94164801,10.814386,1
26.18563509,0.673271,0
26.33903575,5.884864,1
25.24000465,0.979744,0
26.2180624,9.60345,1
26.05250271,4.858015,1
26.69731904,10.241478,1
26.05551563,14.401702,1
26.67419665,1.651041,0
25.65285823,0.793649,0
25.79867747,0.881846,0
24.69164554,0.864247,0
26.68320752,3.600589,1
26.24288894,0.766266,0
26.8744643,0.91092,0
26.3384145,10.082166,1
26.34204318,0.891599,0
25.97026212,0.979813,0
26.50201827,1.198857,0
26.81705198,4.992398,1
26.36689699,5.53658,1
26.8695037,0.80148,0
26.82666992,0.671768,0
25.74324502,0.527732,0
26.92489399,1.822186,0
26.99975374,3.045147,1
25.68962185,0.747533,0
26.9509024,2.446436,0
26.55052568,11.428331,1
25.22275204,5.086226,1
25.83150476,2.574798,0
26.14648247,2.387037,0
26.99846087,4.47862,1
26.57341673,0.87707,0
26.42542026,1.361631,0
26.54880598,3.15716,1
26.88471137,3.386791,1
26.4593066,0.674026,0
26.18206665,4.730421,1
24.67614414,2.098172,0
25.56817734,3.677147,1
25.78626799,2.046341,0
26.22664069,1.391958,0
26.98524373,2.355027,0
25.5745937,1.997823,0
25.4502947,3.504712,1
26.43250016,2.319699,0
25.78160975,2.271754,0
26.70063104,5.263904,1
26.28691108,2.194494,0
26.64059189,2.095709,0
26.64793649,0.273736,0
26.81428488,1.648464,0
26.67691874,3.260875,1
26.80260422,8.322155,1
25.44197946,8.030267,1
24.64550549,2.079681,0
25.90519309,1.64561,0
26.54541525,1.921852,0
25.57741665,1.603973,0
26.14340835,3.021894,1
26.86864062,2.236921,0
26.94445139,3.587529,1
26.94929174,2.236928,0
26.9919724,2.161122,0
25.21995388,2.719461,0
26.30233696,1.569193,0
26.80336523,2.305288,0
26.85944465,1.823035,0
26.77307461,2.236376,0
26.74290973,1.878699,0
26.92850446,2.93833,0
26.2483229,3.009107,1
25.18403748,3.070244,1
26.18990874,2.965245,0
26.18990874,2.047116,0
25.82059304,3.56597,1
26.71418182,16.306964,1
26.61781681,7.085195,1
26.57949319,12.278845,1
25.86640865,12.729514,1
26.94691897,0.993496,0
26.80219601,4.829551,1
26.92551704,1.694332,0
25.21110601,2.111122,0
26.2384953,3.632528,1
26.55031772,1.445022,0
25.87429319,2.143858,0
26.60402383,2.179891,0
25.34470277,1.879712,0
25.90213806,3.583221,1
26.65965775,3.430173,1
26.67015172,2.960667,0
26.45485511,2.443428,0
26.96668031,1.347969,0
26.88636118,2.138872,0
25.60357011,1.747005,0
25.71507639,2.523118,0
26.38720833,1.842465,0
26.91448456,2.624433,0
26.93816433,2.340807,0
26.05695241,2.026778,0
25.51433222,2.191943,0
26.99129386,1.999579,0
25.98043258,2.365997,0
26.9303715,3.58494,1
26.57044121,4.256312,1
26.98796487,1.603954,0
26.70489122,1.788367,0
26.95245126,2.001007,0
26.92261404,2.515529,0
26.88649955,2.206181,0
26.59007411,2.319958,0
26.79409163,4.268485,1
26.62282333,2.246034,0
25.68775051,2.304301,0
25.63046858,1.867211,0
26.48848751,1.694052,0
26.17660872,1.752311,0
25.5663569,2.303357,0
26.83187419,5.977942,1
26.0407717,2.798896,0
26.02615132,3.808985,1
26.80340717,3.377358,1
26.76179862,4.316307,1
26.84523029,4.369461,1
26.39056686,2.897845,0
25.79643271,4.369312,1
25.74199796,5.260843,1
26.87129229,1.952252,0
26.79397759,3.761821,1
26.44325024,3.475608,1
25.85065618,1.99328,0
26.62640643,3.000287,1
26.89627512,3.658968,1
26.2004138,1.677954,0
26.74151368,2.834231,0
25.64779742,3.873236,1
26.6776593,4.798928,1
25.77074166,2.290067,0
25.88407884,0.701365,0
26.96790179,2.998571,0
26.90008737,27.854328,1
26.34811059,14.125591,1
26.64853257,2.32316,0
25.49870621,1.164846,0
26.11128411,1.855621,0
26.41722039,3.796819,1
26.58400088,1.210907,0
26.203734,21.153354,1
26.72194447,4.269782,1
26.42322365,3.586411,1
26.83729453,4.68644,1
25.55009065,20.431653,1
24.44739734,20.641613,1
26.55239633,3.181793,1
26.24029771,11.940917,1
26.67457051,19.513489,1
26.98754395,8.785386,1
26.33768585,0.929424,0
26.4408995,1.169168,0
26.24305391,6.845731,1
25.92456576,2.239701,0
24.71539961,1.792698,0
26.84019677,1.204989,0
24.52796087,1.723131,0
26.46333667,1.586166,0
26.48721278,1.639686,0
26.32211384,2.084991,0
26.75899291,2.770968,0
26.18347565,2.148176,0
24.78699853,1.368073,0
26.97392369,1.925281,0
26.48470242,1.82476,0
25.50340495,3.325205,1
25.55513844,0.990212,0
26.20528175,9.251436,1
25.52758691,2.234902,0
26.98615742,4.467277,1
25.51196209,4.270053,1
26.43309559,2.190775,0
24.7910728,10.033038,1
26.6440844,1.872547,0
26.97634149,1.650224,0
26.71494837,7.665105,1
25.79361543,1.05505,0
25.87824422,7.015176,1
26.65793853,2.29266,0
25.56354546,1.359877,0
25.60542948,4.17665,1
26.12621218,1.447562,0
26.12621218,1.722944,0
25.85491416,1.197672,0
25.46105584,1.66557,0
25.8916507,3.601617,1
25.59186278,1.398681,0
26.63061768,3.815331,1
25.74703577,4.623665,1
26.73660853,1.296764,0
26.06630127,1.149945,0
26.12463678,1.345515,0
26.4709529,4.943103,1
26.28040787,1.921693,0
25.93913375,1.516849,0
26.08024402,4.369462,1
26.26200406,7.486419,1
26.73344777,5.636442,1
26.50389171,3.199192,1
26.99885604,7.217414,1
26.23423755,1.419276,0
25.97044146,2.899188,0
25.93648112,2.743104,0
26.45102924,1.675957,0
26.19913938,8.125671,1
26.25400833,2.481182,0
26.95267759,6.155422,1
26.93866602,5.504164,1
24.97732562,2.336541,0
26.67198119,3.952643,1
26.16218062,1.968721,0
26.33911178,3.024606,1
26.51572287,1.871825,0
25.97496856,4.367025,1
26.30242864,3.665361,1
26.45841359,3.773373,1
26.40785026,2.961008,0
26.95036003,6.115598,1
26.0220415,2.44225,0
25.62017368,1.376649,0
26.67198119,3.439681,1
26.5003815,0.978392,0
26.70238799,1.553727,0
26.64850182,1.599551,0
25.8105439,1.6177,0
25.85308837,9.709459,1
26.77363704,3.395636,1
26.76849863,6.238762,1
25.98666024,2.618143,0
